login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
BankNatchapol,26.0,0.0,0.0,7.0,3,1,3,5,570,265,7,19
dhsig86,1.0,0.0,0.0,3.0,21,1,4,0,775,0,0,205
hyun090305,0.0,0.0,0.0,5.0,4,1,1,0,1130,0,0,463
mmcdermott,93.0,33.0,10.0,16.0,56,1,11,22,5023,0,93,559
gravuj-miklos-henrich,3.0,0.0,0.0,6.0,0,1,1,4,40,3370,0,11
luketou,1.0,0.0,0.0,6.0,18,1,1,2,89,0,0,4
tuaregsand,1.0,3.0,0.0,1.0,22,1,5,0,152,587,0,23
matthesv,0.0,0.0,0.0,8.0,33,1,2,2,609,0,0,217
andretasty,0.0,0.0,0.0,9.0,3,1,1,0,8,0,0,0
Xintong7EDU,0.0,0.0,0.0,1.0,2,1,2,0,113,0,0,30
Bmn599,1.0,0.0,0.0,7.0,27,1,3,0,483,0,13,111
singhtejn,0.0,0.0,0.0,7.0,13,1,2,0,8,0,0,0
indifferenteye,0.0,0.0,0.0,1.0,9,1,1,0,5,0,0,108
Jandro-Ponce,12.0,0.0,0.0,7.0,45,1,1,0,341,0,0,115
Kingwilly6942,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0,2
parhamfiroozi,1.0,0.0,0.0,4.0,54,1,1,0,0,0,0,0
ryankmccarty,0.0,0.0,0.0,10.0,10,1,3,0,197,0,0,86
sultaniman,116.0,2.0,0.0,16.0,3,1,1,2,1731,0,85,102
Nehemimosqueda520,4.0,0.0,0.0,3.0,5,1,2,1,228,0,0,134
DiogoAzevedo03,0.0,0.0,0.0,4.0,1,1,1,0,117,0,1,28
Pedrobks23,1.0,1.0,0.0,4.0,34,1,3,3,296,0,0,84
AlvaroLS01,0.0,0.0,0.0,3.0,55,1,7,0,1574,0,0,722
kpoxo6op,1.0,0.0,0.0,15.0,40,1,2,0,723,0,2,106
mikewong23571,2.0,2.0,1.0,1.0,15,1,3,8,234,0,0,43
MarkoStefanovic,3.0,0.0,0.0,10.0,0,1,1,0,4,0,0,2
Waelr1985,1.0,1.0,0.0,6.0,42,1,4,0,461,0,0,19
MuddySheep,1.0,3.0,0.0,2.0,3,1,6,2,21,0,0,0
hannah-ric,0.0,1.0,0.0,2.0,25,1,3,0,148,0,0,42
leonvanbokhorst,149.0,0.0,0.0,14.0,5,1,2,7,2076,2129,5,454
techmad220,0.0,0.0,0.0,3.0,2,1,1,0,14,0,0,5
anjumdar7864,4.0,0.0,0.0,8.0,0,1,1,0,53,9366,0,12
danielriverah,0.0,0.0,0.0,4.0,8,1,2,3,129,0,0,59
ZerogTony,0.0,0.0,0.0,3.0,1,1,1,0,35,0,0,5
AshB4,3.0,0.0,0.0,4.0,4,1,1,4,432,526,0,38
alexislindsay,0.0,0.0,0.0,8.0,53,1,2,0,236,31,5,80
willyogo,23.0,1.0,0.0,9.0,65,1,3,9,1039,76,59,726
arnaudauroux,13.0,0.0,0.0,16.0,0,1,1,0,3,1820,0,1
carloscousin,0.0,0.0,0.0,10.0,0,1,1,0,4,0,0,1
tiagossm,0.0,0.0,0.0,1.0,22,1,2,0,661,0,4,52
Wenlin-AI,1.0,0.0,1.0,1.0,16,1,6,1,77,0,0,32
nomenarkt,1.0,0.0,0.0,5.0,3,1,1,0,166,243,0,68
matheusflauzino,50.0,0.0,0.0,15.0,6,1,2,1,529,0,0,54
solomongana,0.0,0.0,0.0,7.0,0,1,2,0,17,0,0,6
ljt019,1.0,17.0,1.0,3.0,9,2,1,5,1504,736,2,192
vossccp,0.0,0.0,0.0,12.0,0,1,1,0,175,0,0,5
DetectiveToaster,0.0,0.0,0.0,8.0,38,1,2,0,152,0,0,62
nthomasau,0.0,0.0,0.0,3.0,0,1,1,1,19,0,0,9
Leznerr,0.0,0.0,0.0,3.0,6,1,3,6,608,0,0,394
AlcinoAfonso,0.0,0.0,0.0,1.0,43,1,4,0,832,0,0,25
Razorback2424,0.0,0.0,0.0,9.0,25,1,3,0,134,0,0,91
maksym-arutyunyan,1.0,4.0,1.0,4.0,12,1,5,2,151,0,2,143
CmdWolfTech,0.0,0.0,0.0,1.0,42,1,1,0,222,0,0,110
Dweliw01,0.0,0.0,0.0,4.0,50,1,2,0,57,0,1,9
andygeek,25.0,4.0,0.0,9.0,12,1,4,1,336,6401,0,29
itslucasm8,0.0,0.0,0.0,2.0,1,1,4,0,53,0,0,27
pangedza,0.0,0.0,0.0,1.0,1,1,2,0,1197,0,0,315
catatsuy,153.0,528.0,312.0,15.0,8,1,4,11,3480,0,38,1004
arrrtem0607,0.0,0.0,0.0,3.0,0,1,1,0,93,0,0,43
derekbolyard,0.0,0.0,0.0,9.0,2,1,1,0,312,1388,0,28
lucasryyy,0.0,0.0,0.0,1.0,2,1,1,0,10,0,0,4
