login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth
dannyisbad,0.0,1.0,0.0,7,46,1,1
IvanCampos,70.0,354.0,28.0,15,66,1,5
eliyacobov1,3.0,0.0,0.0,8,42,1,5
rvdbreemen,20.0,0.0,0.0,12,27,1,1
Pmoe97,0.0,1.0,0.0,3,3,1,1
samuel922,0.0,0.0,0.0,6,39,1,4
Syded74,7.0,0.0,0.0,7,1,1,1
irsyadadl,402.0,1633.0,74.0,8,1,1,2
adaptiveX-gh,0.0,0.0,0.0,6,43,1,2
Grimmasura,0.0,0.0,1.0,3,18,1,3
mrz1836,0.0,4.0,1.0,13,2,1,1
stephendmalloy,3.0,0.0,0.0,14,0,1,1
vishalhalbe,0.0,0.0,0.0,10,0,1,1
valdirnerin,0.0,0.0,0.0,1,5,1,1
Capi-nemoo,142.0,0.0,0.0,5,2,1,1
Lorinnio,12.0,0.0,0.0,4,0,1,1
princeprasad90,2.0,0.0,0.0,10,45,1,3
camgrimsec,0.0,0.0,0.0,2,0,1,1
nebulizer7123,0.0,0.0,0.0,1,17,1,2
Morhomom,0.0,0.0,0.0,8,0,1,1
keshav-yoga,0.0,0.0,0.0,1,5,1,3
andrewmowlam,0.0,0.0,1.0,1,1,1,1
olweraltuve,12.0,0.0,0.0,8,0,1,1
PavelNarzyaev,0.0,0.0,0.0,7,9,1,1
SGTMcPass,0.0,0.0,0.0,8,4,1,2
trippwill,6.0,1.0,0.0,13,8,1,3
Toptennn,1.0,0.0,0.0,3,16,1,3
mshawon9,0.0,0.0,0.0,9,0,1,1
herman-ba,0.0,0.0,0.0,1,6,1,3
gciullo,0.0,0.0,0.0,2,47,1,2
KristiansGo,0.0,0.0,0.0,5,1,1,1
msbealo,0.0,0.0,0.0,7,0,1,1
SunsetQuest,25.0,16.0,2.0,11,16,1,1
Michaelram34,0.0,0.0,0.0,1,10,1,2
sirkkalap,8.0,3.0,0.0,15,0,1,1
Kraego,10.0,1.0,0.0,6,5,1,1
bitterbuick,1.0,0.0,1.0,11,0,1,2
houssey89,0.0,0.0,0.0,1,2,1,1
Illyvia,1.0,0.0,0.0,3,0,1,2
phanijapps,1.0,0.0,0.0,14,45,1,5
RoboY59,0.0,0.0,0.0,1,0,1,1
MGX-ATK,0.0,0.0,0.0,1,0,1,1
benjaminshafii,66.0,0.0,0.0,11,51,2,1
Hatscot,0.0,0.0,0.0,1,7,1,2
hunseop,0.0,0.0,0.0,7,55,2,3
abhi2013,1.0,0.0,0.0,13,6,1,1
nhruska,14.0,0.0,0.0,15,1,1,2
mishramohit437,1.0,0.0,0.0,7,0,1,1
Vancubic,0.0,0.0,0.0,1,0,1,1
ericman2001,0.0,0.0,0.0,14,0,1,1
fouad-openai,149.0,0.0,0.0,2,0,1,1
Goro2030,6.0,2.0,0.0,11,14,1,5
elliptic1,15.0,2.0,0.0,14,39,1,9
ryanpaulanderson,1.0,0.0,0.0,9,10,1,2
CernyMW,0.0,0.0,0.0,11,0,1,1
JasonMKurtz,5.0,0.0,0.0,14,4,1,1
TheApeMachine,72.0,2.0,0.0,12,50,2,6
sidmohan0,7.0,0.0,0.0,6,10,1,1
Galogen42,0.0,0.0,0.0,6,0,1,2
jake0lawrence,0.0,0.0,0.0,8,56,1,5
austeane,4.0,5.0,0.0,12,69,2,1
italosilva18,2.0,1.0,0.0,8,3,1,3
neurochilds,11.0,0.0,0.0,7,0,1,1
mckenna-dev,0.0,0.0,0.0,8,9,1,1
ammargrowme,1.0,0.0,1.0,3,1,1,2
hchereau,20.0,0.0,1.0,4,23,1,3
alexbajo,0.0,0.0,0.0,11,0,1,1
haramrit09k,28.0,4.0,0.0,10,43,1,3
JoseModi97,12.0,0.0,0.0,4,4,1,9
circlemouth,1.0,0.0,0.0,2,1,1,1
Humanmademovies,0.0,0.0,0.0,8,0,1,1
Unamunoqueva,2.0,0.0,0.0,9,0,1,1
FreedominaStonyField,0.0,0.0,0.0,4,0,1,1
joshuaramos1,1.0,0.0,0.0,4,1,1,1
null-reference,6.0,0.0,0.0,12,9,1,2
Masa1984a,11.0,3.0,1.0,2,3,1,2
myobie,229.0,2.0,0.0,18,12,1,2
WayneIV,0.0,0.0,0.0,4,2,1,7
reisematson2,0.0,0.0,0.0,3,40,1,3
abdut7,10.0,0.0,0.0,9,9,1,1
ladisalves,0.0,0.0,0.0,7,0,1,1
Aboodtarek2004,0.0,0.0,0.0,3,1,1,4
uilfl,7.0,0.0,0.0,5,0,1,1
fblomstedt41,1.0,0.0,0.0,4,1,1,1
ludovicoruggiero,0.0,0.0,0.0,1,10,1,1
otoolecf,0.0,0.0,0.0,9,4,1,1
TomKoska,0.0,0.0,0.0,2,0,1,1
VictorAmadeu,55.0,0.0,0.0,3,3,1,1
Slaschounet,0.0,0.0,0.0,8,1,1,1
hemrika,2.0,0.0,0.0,11,29,1,3
rclavey,2.0,0.0,0.0,5,30,1,2
Privettema,2.0,0.0,2.0,11,0,1,1
DenislopesAPI,0.0,0.0,0.0,3,5,1,1
shoonoise,24.0,0.0,0.0,14,5,1,1
kruall,12.0,0.0,0.0,12,8,1,2
DJSPEEDYGA,1.0,0.0,0.0,1,1,1,2
dj-oyu,2.0,0.0,0.0,6,53,1,5
fadlibdr,0.0,0.0,0.0,3,22,1,1
juanasaavedra,1.0,0.0,0.0,2,2,1,1
sweeetpotatooo,12.0,0.0,0.0,5,7,1,2
AntikGhalt,0.0,0.0,0.0,5,1,1,2
mmasooda,0.0,0.0,0.0,7,0,1,1
mjy9088,86.0,0.0,0.0,11,47,1,10
elmarziger,0.0,0.0,0.0,4,0,1,1
YawwaY-uk,0.0,0.0,0.0,1,0,1,1
pedroa2silva,0.0,0.0,0.0,11,14,1,1
Kevinwu901113,4.0,1.0,0.0,7,14,1,1
mdanshin,3.0,0.0,0.0,12,0,1,1
wholton,2.0,0.0,0.0,13,34,1,2
gvelesandro,4.0,65.0,2.0,12,17,1,2
hndoss,0.0,0.0,0.0,12,0,1,1
BeLeap,121.0,9.0,0.0,7,3,1,2
dianabalt,0.0,0.0,0.0,2,1,1,1
stefan-kp,1.0,1.0,0.0,6,3,1,1
Priolli,1.0,0.0,0.0,9,0,1,1
felipedela1,0.0,0.0,0.0,1,6,1,1
RPGLE-Logic,0.0,0.0,0.0,3,0,1,1
Stephen-Hearthware,0.0,0.0,1.0,1,14,1,2
SojiJoro,0.0,0.0,0.0,6,38,1,4
vrsystem33,0.0,0.0,0.0,1,0,1,1
arterberry,4.0,0.0,0.0,15,0,1,2
Anonymohammad,0.0,0.0,0.0,2,1,1,1
npxcomplete,2.0,0.0,0.0,7,6,1,2
WaldirJuniorGPN,2.0,1.0,0.0,3,50,1,2
nishantsharmawalmart,0.0,0.0,0.0,6,0,1,1
SasiKaw,0.0,0.0,0.0,2,1,1,2
mariamatthews,9.0,0.0,0.0,11,2,1,1
yoheinakajima,1998.0,21.0,3.0,14,0,1,1
Shargrion,0.0,0.0,0.0,10,0,1,1
jangsh124,0.0,0.0,0.0,5,23,1,1
laszewskimariusz,2.0,0.0,0.0,12,1,1,1
snowmois,2.0,0.0,0.0,10,0,1,1
PetrosyanDev,1.0,1.0,0.0,3,13,1,2
shyamvsingh,0.0,0.0,0.0,1,18,1,1
JBaczkoeski,0.0,0.0,0.0,5,0,1,1
ogorzalka,49.0,0.0,0.0,17,2,1,1
his-name-anton,0.0,0.0,0.0,5,4,2,1
ved009,8.0,0.0,0.0,9,16,1,3
yassenshopov,78.0,59.0,2.0,5,0,1,1
PrimeTime416,2.0,0.0,0.0,10,4,1,1
dsuth10,0.0,0.0,0.0,7,24,2,5
ShiNxz,14.0,0.0,0.0,6,0,1,1
Arunteja27,3.0,0.0,0.0,3,0,1,1
tamtroot,0.0,0.0,0.0,1,30,1,3
Combatpanda420,0.0,0.0,0.0,2,0,1,1
RurueruCloverforest,0.0,0.0,0.0,1,5,1,1
jonbng,48.0,2.0,0.0,6,6,1,2
joelsrf,0.0,0.0,0.0,10,0,1,1
thumuladinu,1.0,0.0,0.0,4,0,1,2
PrivsTaxi,0.0,0.0,0.0,1,0,1,1
ardacakir,0.0,0.0,0.0,13,1,1,1
Ahmed-Ali,325.0,1.0,1.0,13,2,1,2
sankalp1999,218.0,0.0,0.0,8,0,1,1
babajohn33,0.0,0.0,0.0,2,0,1,1
RobKoelmans,0.0,0.0,0.0,11,0,1,1
Vicedavid,0.0,0.0,0.0,1,0,1,1
robarnold,15.0,0.0,0.0,16,60,1,1
pirut,0.0,0.0,0.0,10,30,1,2
CharlesAD,3.0,0.0,0.0,10,0,1,1
fastcoderspencer,3.0,0.0,0.0,4,0,1,1
JppAvila,0.0,0.0,0.0,4,33,1,1
bgillieron,0.0,0.0,0.0,14,0,1,1
a8kaabi1,0.0,0.0,0.0,4,1,1,2
lewis-morris,11.0,0.0,0.0,8,1,1,2
CaptainJeff,5.0,0.0,0.0,14,1,1,2
i-klimenko-ge,0.0,0.0,0.0,1,19,1,1
savoross,0.0,0.0,0.0,1,17,1,4
sugi-cho,456.0,0.0,0.0,16,8,1,1
klizarh,1.0,0.0,0.0,5,0,1,1
tokitaku,0.0,0.0,0.0,12,40,1,1
juliombernardi,0.0,0.0,0.0,7,5,1,2
AdielMag,0.0,0.0,0.0,8,0,1,1
Penlect,4.0,74.0,20.0,13,25,1,2
Adarsh1999,19.0,0.0,0.0,9,0,1,1
rubentrancoso,8.0,0.0,0.0,14,0,1,2
ngaffa,2.0,0.0,0.0,12,0,1,1
Huang-Yongzhi,4.0,1.0,0.0,5,0,1,1
jcaldwell1066,0.0,2.0,0.0,9,39,2,2
Rookie-00001,0.0,72.0,4.0,4,0,1,1
Thestartofyou,12.0,0.0,0.0,8,0,1,1
thisistaimur,7.0,0.0,0.0,7,6,1,2
kmadorin,58.0,0.0,0.0,13,1,1,1
marcmx1973,0.0,0.0,0.0,6,4,1,1
MardorZ,2.0,3.0,0.0,15,0,1,1
okabe007,0.0,0.0,0.0,3,1,1,1
luanguto,7.0,0.0,0.0,4,0,1,1
WS-G,6.0,0.0,0.0,5,0,1,1
Tedconner23,0.0,0.0,0.0,8,0,1,1
dhar174,19.0,1.0,1.0,13,55,2,7
HyperLee,1.0,1.0,1.0,11,0,1,5
lanlanlllma,15.0,0.0,0.0,5,0,1,1
danhellem,91.0,79.0,63.0,11,0,1,1
JimBLogic,3.0,0.0,0.0,7,0,1,1
biwasxyz,22.0,0.0,0.0,2,10,1,2
Rondeygod,0.0,0.0,0.0,6,11,1,1
firstpixel,9.0,0.0,0.0,15,4,1,2
piercetopp,0.0,0.0,0.0,3,1,1,1
Atlas48,2.0,0.0,0.0,13,3,1,2
LyncTaylor,0.0,0.0,0.0,4,0,1,1
rebeccapowell,38.0,6.0,2.0,15,31,1,3
gandis0713,3.0,0.0,0.0,8,11,1,1
sung-il,0.0,0.0,0.0,10,0,1,1
bmesuere,57.0,0.0,0.0,16,1,1,2
seoddhh,1.0,0.0,1.0,2,4,1,1
aksh-ay06,9.0,0.0,0.0,7,0,1,1
MANOROMAN,3.0,0.0,0.0,4,0,1,1
dferrari,1.0,0.0,1.0,13,42,1,2
ElCuarta,1.0,0.0,0.0,7,19,1,1
shubhwicked,22.0,0.0,0.0,10,0,1,1
haakanergun,4.0,0.0,0.0,7,0,1,1
therealpaulgg,14.0,17.0,1.0,10,0,1,1
skylerlchan,0.0,0.0,0.0,2,0,1,1
leein8bits,0.0,0.0,0.0,12,0,1,1
SanskarX10,1.0,0.0,1.0,8,0,1,1
maikimilk,3.0,0.0,0.0,5,7,1,1
Astwea,1.0,0.0,0.0,4,0,1,1
franz13,0.0,0.0,0.0,9,20,1,2
Clarence161095,2.0,0.0,0.0,7,0,1,1
yihsien,0.0,0.0,0.0,13,0,1,1
carlucci001,0.0,0.0,0.0,14,0,1,1
danhalvorsen,9.0,0.0,0.0,16,0,1,1
unstable-dio,13.0,0.0,0.0,7,0,1,1
Princeparis,1.0,0.0,0.0,10,0,1,1
fernsheldon,8.0,0.0,0.0,14,0,1,1
SeaHogs,0.0,0.0,0.0,4,1,1,1
Flores41,0.0,1.0,0.0,4,0,1,1
Clouny59,0.0,0.0,0.0,3,12,1,3
Matthew821661,0.0,0.0,0.0,1,4,1,2
emiliogril,24.0,0.0,0.0,5,0,1,1
twatson071,3.0,0.0,0.0,12,20,1,1
dummyindex,22.0,0.0,0.0,11,51,1,1
R1S3-01,0.0,0.0,0.0,1,0,1,2
hizenxyz,1.0,0.0,0.0,3,2,1,1
shihabcsedu09,39.0,1.0,2.0,14,0,1,2
xDima87x,0.0,0.0,0.0,3,2,1,1
rohit-saharan,11.0,0.0,0.0,15,0,1,1
dudutwizer,18.0,0.0,0.0,10,0,1,1
yejiyang,27.0,0.0,0.0,13,8,1,1
Wooldrum,0.0,1.0,0.0,4,31,1,2
LochnessFPV,8.0,0.0,0.0,6,0,1,1
mehdikord,16.0,0.0,0.0,8,16,1,2
hieu1871998,0.0,0.0,0.0,7,0,1,1
gitxstudent,0.0,0.0,1.0,4,12,1,4
raphaelluethy,14.0,0.0,0.0,7,6,1,1
mxttiapastore,0.0,0.0,0.0,1,1,1,1
qwertypants,35.0,0.0,0.0,16,0,1,1
CBRT513,0.0,0.0,0.0,2,0,1,1
Jasujung99,0.0,0.0,0.0,1,0,1,1
MorganBergen,65.0,0.0,0.0,6,40,1,3
Gottox,300.0,4.0,0.0,15,0,1,1
MakerV5,0.0,0.0,0.0,1,0,1,1
MaxRobles90,0.0,0.0,0.0,1,0,1,1
SaiKaushik121,0.0,0.0,0.0,5,1,1,1
Medo42,26.0,5.0,2.0,16,0,1,1
wagun,0.0,0.0,0.0,10,0,1,1
cyl-castillo,0.0,0.0,0.0,7,1,1,2
solar-boi,0.0,0.0,0.0,2,47,2,3
HelioPri,2.0,0.0,0.0,4,0,1,1
evil988,2.0,0.0,0.0,8,26,1,1
warren00857020,3.0,0.0,0.0,6,0,1,1
tvojehnizdo,0.0,0.0,0.0,1,0,1,1
kntshr,0.0,0.0,0.0,10,0,1,1
QQ0x,0.0,0.0,0.0,1,17,1,1
EDY28-M,0.0,0.0,0.0,2,37,1,7
albozes,4.0,57.0,5.0,6,38,1,2
abd-als,5.0,0.0,0.0,7,0,1,1
marciomerconi,0.0,0.0,0.0,1,2,1,1
Knuromuro,0.0,1.0,0.0,3,20,1,2
bohamil,0.0,0.0,0.0,12,0,1,1
DSG121,0.0,0.0,0.0,2,0,1,1
jhorman9,12.0,0.0,0.0,5,1,1,1
nazgob,73.0,3.0,0.0,17,0,1,1
andr6,9.0,1.0,0.0,16,44,1,4
kongwanbianjinyu,4.0,0.0,0.0,8,15,1,2
acwilan,9.0,0.0,0.0,16,15,1,1
maxajbarlow,0.0,0.0,0.0,7,0,1,1
emrecanturgul,46.0,0.0,0.0,4,0,1,1
ranjithstar256,83.0,1.0,0.0,12,8,1,2
hllleb,1.0,0.0,0.0,5,0,1,1
Padwalpankaj9,0.0,0.0,0.0,2,0,1,1
NQMP123,0.0,0.0,0.0,4,0,1,1
polmat77,0.0,0.0,0.0,1,1,1,1
AbyTJoseph,1.0,0.0,0.0,8,2,1,1
tungedng2710,22.0,8.0,2.0,7,48,1,4
JORGELBURGOS,0.0,0.0,0.0,1,0,1,1
jzwirtes,0.0,0.0,0.0,4,1,1,1
kushagra101010,0.0,0.0,0.0,7,3,1,2
stephenspark,0.0,0.0,0.0,4,0,1,1
Nybrgg,0.0,0.0,0.0,2,43,2,2
joelosiris11,1.0,0.0,0.0,7,9,1,3
skylordblink,0.0,0.0,0.0,3,0,1,1
stanislaw-ryzko,0.0,0.0,0.0,1,4,1,1
HA-HUB-I,0.0,0.0,0.0,13,0,1,1
zeallat,35.0,0.0,0.0,12,0,1,1
marijnbaar,16.0,0.0,0.0,6,0,1,1
Betz189,0.0,1.0,0.0,1,0,1,1
deangilmoreremix,2.0,0.0,0.0,2,52,1,3
ixarek,0.0,0.0,0.0,3,2,1,1
LightbrotherX,0.0,0.0,0.0,1,0,1,1
ElfCapitano,0.0,0.0,0.0,6,0,1,1
jpgomezm1,1.0,0.0,0.0,4,42,1,2
ravikiran-talekar,0.0,0.0,0.0,4,14,1,1
ghufran1942,4.0,0.0,0.0,12,1,1,1
NerdyMedulla,2.0,0.0,0.0,4,0,1,1
nicochunger,2.0,0.0,0.0,9,0,1,1
SvenVanderwegen,3.0,0.0,0.0,10,0,1,1
EnergyPlayYT,0.0,0.0,0.0,5,0,1,1
thalissomvinicius,3.0,0.0,0.0,4,0,1,0
Ignas0089,0.0,0.0,0.0,1,0,1,1
jxakellis,1.0,2.0,0.0,6,10,1,1
ithubworld25,0.0,0.0,0.0,1,0,1,1
37715,2.0,0.0,0.0,6,0,1,1
retrobit,3.0,0.0,0.0,13,0,1,1
amanluth03,1.0,0.0,0.0,10,0,1,1
Trugira-ctrl,0.0,0.0,0.0,1,5,1,1
Agente-M,0.0,0.0,0.0,1,0,1,1
officialillmatic,0.0,0.0,0.0,2,0,1,1
Mzmarianna,0.0,0.0,0.0,1,37,1,1
knoxdevchris,0.0,0.0,0.0,2,0,1,2
vjurcutiu,0.0,0.0,0.0,3,3,1,2
BlockchainMD,0.0,0.0,0.0,8,9,2,1
AgentPhoenix7,0.0,0.0,0.0,5,0,1,1
notryan908,0.0,0.0,0.0,1,0,1,1
patrick91,862.0,0.0,0.0,15,0,1,1
Honzitko,0.0,0.0,0.0,2,4,1,2
arthgirard,1.0,2.0,0.0,2,0,1,1
samdowrickstr,0.0,0.0,0.0,3,49,1,2
migbit,0.0,0.0,0.0,8,0,1,1
munir-abbasi,0.0,1.0,0.0,10,0,1,1
dtake-dtake,0.0,0.0,0.0,1,2,1,1
Nervus86,0.0,0.0,0.0,13,0,1,1
ErhanOnaldi,6.0,0.0,0.0,2,0,1,1
ayushman-git,26.0,0.0,0.0,8,1,1,1
Splaticus,0.0,0.0,0.0,12,4,1,1
YeisonCardona,52.0,0.0,0.0,13,5,1,1
SimonHalvdansson,32.0,746.0,52.0,7,10,1,1
TashiiDesign,0.0,0.0,0.0,8,0,1,1
asabryy,0.0,0.0,0.0,6,0,1,1
webmasterfacinnova,1.0,0.0,0.0,2,2,1,2
nabinabi11,0.0,0.0,0.0,3,0,1,1
henriqueFOG,0.0,1.0,1.0,4,0,1,2
JanilsonJ,13.0,1.0,0.0,5,0,1,1
TatiTD-tech,0.0,0.0,0.0,1,0,1,1
shadynafie,7.0,10.0,2.0,9,0,1,1
ricardozago,14.0,1.0,0.0,13,0,1,1
ekacnet,9.0,5.0,2.0,15,15,1,2
Vitor-VarelAI,1.0,0.0,0.0,2,2,1,1
GioM08,2.0,0.0,0.0,2,0,1,2
iamhirusha,11.0,0.0,0.0,6,0,1,1
RickCarlino,445.0,6.0,0.0,14,0,1,1
Schw-ai-ng,0.0,1.0,0.0,1,1,1,1
wessamfathi,4.0,0.0,0.0,16,2,1,1
geocolon,7.0,0.0,0.0,12,24,1,2
uyphu,14.0,0.0,0.0,12,2,1,2
Saikiranmdv,1.0,0.0,0.0,3,0,1,1
Aemis,7.0,1.0,0.0,14,0,1,1
j16h,47.0,21.0,3.0,14,0,1,1
sousukems09,0.0,0.0,0.0,2,0,1,1
nepolBancolombiaSoft,0.0,1.0,0.0,4,8,1,2
Fruncky,0.0,0.0,0.0,4,7,1,2
MariusStorhaug,32.0,0.0,0.0,10,67,1,3
JeremyLuna,3.0,0.0,0.0,11,0,1,1
brian-nunez,12.0,0.0,0.0,8,2,1,1
Andrew-Beniash,0.0,0.0,0.0,4,0,1,1
orainic,0.0,0.0,0.0,5,69,1,2
hanstar02,0.0,0.0,0.0,3,5,1,1
msammons,0.0,0.0,0.0,14,0,1,1
kwatanabe0120,0.0,0.0,0.0,2,0,1,1
solaoi,38.0,5.0,2.0,7,8,1,2
Al3ssi03,0.0,1.0,0.0,2,0,1,1
bharatgl,35.0,1.0,2.0,7,32,1,3
zlvnt,3.0,0.0,0.0,2,18,1,1
engNader1,0.0,0.0,0.0,3,14,1,1
ldmarz,10.0,0.0,0.0,13,0,1,1
fryan2503,0.0,0.0,0.0,2,28,1,1
atharvamungee,0.0,0.0,0.0,3,0,1,1
ParaFoxy-xto,5.0,1.0,0.0,6,0,1,1
ro-ag,1.0,1.0,0.0,11,21,1,1
Grandizas,4.0,0.0,0.0,8,0,1,1
bryamzxz,0.0,0.0,0.0,8,0,1,1
enveribq-exe,0.0,0.0,0.0,1,0,1,1
Serdargith,0.0,0.0,0.0,3,14,1,1
JaymKim,0.0,0.0,0.0,1,0,1,1
1arry1iu,17.0,46.0,8.0,9,0,1,1
Gabriele04121,0.0,0.0,0.0,7,0,1,1
vtiposhnik,1.0,0.0,0.0,4,1,1,1
ob7darth,0.0,1.0,0.0,1,0,1,1
HansPeterRadtke,0.0,0.0,0.0,3,0,1,1
kinihun,3.0,0.0,0.0,10,1,1,1
richardhkind,0.0,0.0,0.0,1,1,1,2
SomewhatJustin,6.0,0.0,0.0,12,0,1,1
phang98,2.0,6.0,1.0,12,0,1,1
nickgannon10,4.0,0.0,0.0,4,1,1,2
artuuuu777,0.0,0.0,0.0,2,0,1,1
settylokesh,0.0,0.0,0.0,2,29,1,2
shuienko,0.0,0.0,0.0,14,0,1,1
ByteSiegel,1.0,0.0,0.0,3,0,1,1
CrashmanYT,2.0,0.0,0.0,7,1,1,1
mrzinger,0.0,3.0,0.0,14,1,1,1
Het369,17.0,0.0,0.0,9,0,1,1
kengyulin,2.0,0.0,0.0,14,0,1,1
matfra,19.0,0.0,0.0,13,1,1,1
subha5009,0.0,0.0,0.0,3,5,1,2
marcosdatagro,0.0,1.0,0.0,1,0,1,1
buildwithjeremy,0.0,1.0,0.0,1,0,1,1
Anth0ny,5.0,0.0,0.0,15,0,1,1
tekminded-git,0.0,0.0,0.0,1,2,1,2
j-w-matlock,0.0,0.0,0.0,1,1,1,1
japa86,0.0,0.0,0.0,1,1,1,1
ajmoore143,0.0,0.0,0.0,1,0,1,1
vladpolewoi,4.0,0.0,0.0,7,2,1,1
EpicGamer4088,8.0,0.0,0.0,4,0,1,1
leopoldpoldus,1.0,0.0,0.0,7,0,1,1
xHitmanQ8,1.0,0.0,0.0,10,0,1,1
AlomaryAli,0.0,0.0,0.0,2,0,1,1
cbustosb,0.0,0.0,0.0,14,0,1,1
tatoand97,3.0,0.0,0.0,9,0,1,1
Luehrsen,27.0,0.0,0.0,15,13,1,1
crotodev,0.0,0.0,0.0,3,0,1,1
agerimex,3.0,0.0,0.0,13,0,1,1
MatiDes12,1.0,0.0,0.0,4,5,1,1
dchinyanin,0.0,0.0,0.0,4,26,2,2
Mehrad1994,1.0,0.0,0.0,3,0,1,1
GonzaGalfre,1.0,0.0,0.0,4,0,1,1
kirikov,1.0,2.0,1.0,7,0,1,1
Tanzeem-15,0.0,0.0,0.0,2,0,1,1
vroad,16.0,0.0,0.0,16,49,1,4
ZankDev,4.0,1.0,0.0,5,0,1,1
CYPT71,8.0,0.0,0.0,7,0,1,1
MystikFRD,0.0,0.0,0.0,5,0,1,1
Chinel0,1.0,0.0,0.0,2,0,1,1
toom-dev,2.0,0.0,0.0,5,0,1,1
ANDRESVALENCIAR,0.0,0.0,0.0,2,14,1,1
MoyashiWithDevice,1.0,0.0,0.0,2,8,1,1
achavira112,0.0,0.0,0.0,1,5,1,1
coderalexis,1.0,0.0,0.0,11,10,1,1
michelknoop21,0.0,0.0,0.0,5,9,1,2
PieterDePauw,38.0,0.0,0.0,8,0,1,1
Mostafa-Dya,1.0,0.0,0.0,5,1,1,1
PatricioBanda,0.0,0.0,0.0,5,0,1,1
Mendes113,10.0,0.0,0.0,4,0,1,1
alvaroSaavedraCalero,0.0,0.0,0.0,5,0,1,1
Zuzu-Typ,22.0,59.0,6.0,10,0,1,2
vilkinsons,45.0,0.0,0.0,13,0,1,1
Dherian75,0.0,0.0,0.0,4,0,1,1
azeemadil095,0.0,0.0,0.0,6,0,1,1
mohathabet,0.0,0.0,0.0,7,0,1,1
vetpraveen,0.0,0.0,0.0,2,0,1,1
shanytopper,0.0,0.0,0.0,12,28,1,2
suncat2ps,0.0,0.0,0.0,13,0,1,1
travenblevins,0.0,0.0,0.0,3,0,1,1
withNorica,0.0,0.0,0.0,1,0,1,1
wdownload,4.0,0.0,0.0,13,0,1,1
bidem66,0.0,0.0,0.0,1,0,1,1
insertfahim,2.0,3.0,0.0,3,27,2,2
DmitryPakhomov,0.0,1.0,0.0,11,5,1,1
sbcpetew,0.0,0.0,0.0,1,0,1,1
mrodrise,2.0,0.0,0.0,8,0,1,1
VarunKurri,0.0,1.0,0.0,6,0,1,1
hugomd,536.0,1.0,1.0,14,2,1,1
edismah,0.0,0.0,0.0,9,0,1,1
TychoLoke,7.0,0.0,0.0,10,2,1,1
m-Petry,47.0,0.0,0.0,8,0,1,1
Inquizarus,9.0,0.0,0.0,13,0,1,1
berenczeiricsi,1.0,0.0,0.0,4,0,1,1
nupsea,1.0,3.0,0.0,8,0,1,1
BruzWrld,0.0,0.0,0.0,3,0,1,1
oreo-cloud,4.0,0.0,0.0,5,0,1,1
erikdubbelboer,351.0,0.0,0.0,16,4,1,1
lalsleo,0.0,0.0,0.0,9,0,1,1
alphasourceai,0.0,0.0,0.0,1,0,1,1
Atommom,2.0,0.0,0.0,9,0,1,1
Unai95,0.0,0.0,0.0,2,1,1,2
post-meta,0.0,0.0,0.0,1,0,1,1
m0rgan,17.0,1.0,0.0,12,0,1,1
pspn,2.0,0.0,0.0,13,0,1,1
julianbaker,12.0,4.0,0.0,11,0,1,1
zsilverzweig,2.0,0.0,0.0,14,0,1,1
astro-kevin,0.0,0.0,0.0,5,0,1,1
MichaelMees99,4.0,0.0,0.0,4,4,1,1
li77leman36,0.0,0.0,0.0,3,0,1,1
VitorCesarLesco,0.0,0.0,0.0,2,0,1,1
mfcnsz,0.0,0.0,0.0,5,0,1,1
simha-gb,0.0,0.0,0.0,4,0,1,1
joandogo,0.0,0.0,0.0,3,0,1,1
am-neacsu,0.0,0.0,0.0,3,0,1,1
mykoreanjoe,0.0,0.0,0.0,8,0,1,1
Kamblossi,7.0,0.0,0.0,6,1,1,1
SudarshananGSS,0.0,0.0,0.0,6,8,1,1
bdolicki,0.0,1.0,0.0,10,0,1,1
maximus-POL,0.0,0.0,0.0,1,0,1,1
TylerOW,0.0,0.0,0.0,3,0,1,2
neonbiohazard,0.0,0.0,0.0,8,0,1,1
niharvarma1247,0.0,0.0,0.0,10,0,1,1
KevinRyans,0.0,0.0,0.0,9,0,1,2
DJRaidRunner,0.0,0.0,0.0,2,0,1,1
lil-andrewf,0.0,0.0,0.0,4,0,1,1
monci1850,4.0,0.0,0.0,7,0,1,1
sagar-g-v,3.0,0.0,0.0,9,0,1,1
adamlin120,110.0,0.0,0.0,9,6,1,1
ssutura,0.0,0.0,0.0,8,0,1,1
WingmanTrebor,1.0,0.0,0.0,14,17,1,2
SadLinusGuy0,12.0,1.0,3.0,4,0,1,1
Engelnicolas,1.0,0.0,0.0,12,1,1,1
N-Shimoda,2.0,0.0,0.0,6,0,1,1
nathanielsmithies,0.0,0.0,0.0,9,0,1,1
romanywu,15.0,0.0,0.0,2,0,1,1
sunick2009,2.0,0.0,0.0,10,0,1,1
TNEli1,0.0,0.0,0.0,1,0,1,1
476106017,1.0,0.0,0.0,11,0,1,1
omarelazhary,0.0,0.0,0.0,1,0,1,1
dyaksa,11.0,6.0,1.0,8,0,1,1
jsnanigans,30.0,40.0,2.0,13,0,1,1
agareppe,0.0,0.0,0.0,13,0,1,1
madsrahbek,0.0,0.0,0.0,6,0,1,1
Hicomputergames,0.0,0.0,0.0,1,0,1,1
javi22020,8.0,1.0,0.0,5,1,1,1
JacobZuliani,10.0,0.0,0.0,9,0,1,1
