group,User_Count,Mean,Std_Dev,Median,IQR,Min,Max
Agent,56387,88.94259386028695,26.837341534357485,100.0,1.3900000000000006,0.0,100.0
Human,2286,78.64505249343831,38.80112643779662,100.0,20.0,0.0,100.0
