sean-brydon,8,8.0,0.0,100.0
CarinaWolli,4,4.0,0.0,100.0
retrogtx,5,5.0,0.0,100.0
Amit91848,1,0.0,1.0,0.0
supalarry,1,1.0,0.0,100.0
tomiir,13,10.0,3.0,76.92
enesozturk,6,6.0,0.0,100.0
vercel-release-bot,3,1.0,2.0,33.33
ershad,9,9.0,0.0,100.0
raphaelcosta,2,2.0,0.0,100.0
jc26,18,16.0,2.0,88.89
somyanath,4,0.0,4.0,0.0
akash3444,2,0.0,2.0,0.0
yoshi-taka,1,1.0,0.0,100.0
XxAlonexX,1,0.0,1.0,0.0
Arshroop-Saini,1,1.0,0.0,100.0
simbadMarino,1,0.0,1.0,0.0
ltyu,1,0.0,1.0,0.0
tjiang-box,3,3.0,0.0,100.0
Mirajul-Mohin,1,1.0,0.0,100.0
rnuinoci[bot],4,4.0,0.0,100.0
apix7,1,0.0,1.0,0.0
minimal-scouser,2,2.0,0.0,100.0
netsirius,1,1.0,0.0,100.0
theskcd,1,1.0,0.0,100.0
leeandher,1,1.0,0.0,100.0
maxdeichmann,3,3.0,0.0,100.0
AMoreaux,1,1.0,0.0,100.0
LetItRock,9,9.0,0.0,100.0
canrobins13,1,1.0,0.0,100.0
jlopezpena,1,1.0,0.0,100.0
akshay-gupta7,14,13.0,1.0,92.86
spartan-vutrannguyen,14,12.0,2.0,85.71
pranavtartey,1,0.0,1.0,0.0
raulahumada,1,1.0,0.0,100.0
yrangana,1,1.0,0.0,100.0
tnyo43,4,3.0,1.0,75.0
sasamuku,15,10.0,5.0,66.67
infonobody,1,0.0,1.0,0.0
MichaelWalker-git,1,1.0,0.0,100.0
obs-gh-austinjang,1,0.0,1.0,0.0
cpepin,1,0.0,1.0,0.0
walkinggo,1,1.0,0.0,100.0
JamesHenry,2,2.0,0.0,100.0
CondorXIO,2,2.0,0.0,100.0
piotrj-rtbh,1,1.0,0.0,100.0
pm-komal-kumari,1,1.0,0.0,100.0
jpiros,1,1.0,0.0,100.0
rgerhards,15,15.0,0.0,100.0
Yonom,8,8.0,0.0,100.0
chriselsen,1,1.0,0.0,100.0
obi1kenobi,13,13.0,0.0,100.0
AYadrov,2,1.0,1.0,50.0
PawelPeczek-Roboflow,3,3.0,0.0,100.0
acco,2,1.0,1.0,50.0
Dwij1704,12,7.0,5.0,58.33
colegottdank,1,1.0,0.0,100.0
Dhivya-Bharathy,1,0.0,1.0,0.0
gaby,1,1.0,0.0,100.0
Qazalin,1,1.0,0.0,100.0
akshika898,1,1.0,0.0,100.0
chacha21,1,1.0,0.0,100.0
MaxBrooks114,1,1.0,0.0,100.0
bachampson,1,0.0,1.0,0.0
htlin222,1,1.0,0.0,100.0
leoafarias,6,5.0,1.0,83.33
Rohithgilla12,1,1.0,0.0,100.0
bolinfest,2,2.0,0.0,100.0
devgony,2,2.0,0.0,100.0
Yu-zh,4,4.0,0.0,100.0
sebampuero,1,1.0,0.0,100.0
ccmien,1,1.0,0.0,100.0
bobbyiliev,1,1.0,0.0,100.0
juliendenize,2,2.0,0.0,100.0
ftaxats,1,0.0,1.0,0.0
jamashita,4,4.0,0.0,100.0
raaymax,1,1.0,0.0,100.0
darynaishchenko,1,1.0,0.0,100.0
madsonic,1,0.0,1.0,0.0
ian-at-airbyte,1,1.0,0.0,100.0
ra3orblade,3,3.0,0.0,100.0
alparslanavci,1,1.0,0.0,100.0
billdeitrick,1,0.0,1.0,0.0
baskaryan,2,2.0,0.0,100.0
albinAppsmith,1,1.0,0.0,100.0
NandanAnantharamu,1,0.0,1.0,0.0
icfaust,1,1.0,0.0,100.0
sh-rp,1,0.0,1.0,0.0
DoctorJohn,1,1.0,0.0,100.0
rmcdaniel,2,2.0,0.0,100.0
sftse,1,1.0,0.0,100.0
saum7800,1,1.0,0.0,100.0
arcticfly,1,1.0,0.0,100.0
imfing,1,1.0,0.0,100.0
KyongSik-Yoon,1,0.0,1.0,0.0
wonderwhy-er,1,1.0,0.0,100.0
talkor,1,1.0,0.0,100.0
julien-c,2,2.0,0.0,100.0
nbarr07,1,1.0,0.0,100.0
ivanagas,1,1.0,0.0,100.0
AlexGStapleton,1,1.0,0.0,100.0
evan-forbes,3,3.0,0.0,100.0
christian-byrne,1,1.0,0.0,100.0
aryairani,1,1.0,0.0,100.0
rueian,1,0.0,1.0,0.0
icyllite,1,1.0,0.0,100.0
zhangtyzzz,1,1.0,0.0,100.0
hyoshioka0128,1,1.0,0.0,100.0
Tyriar,4,4.0,0.0,100.0
try-to-fly,1,1.0,0.0,100.0
azure-sdk,28,20.0,8.0,71.43
KathanS,1,1.0,0.0,100.0
v-bkasu,1,1.0,0.0,100.0
rohkhann,1,1.0,0.0,100.0
CamSoper,1,1.0,0.0,100.0
DaveSkender,9,9.0,0.0,100.0
primer[bot],1,1.0,0.0,100.0
hectahertz,2,2.0,0.0,100.0
acoates-ms,5,4.0,1.0,80.0
TatianaKapos,6,4.0,2.0,66.67
jorgerangel-msft,1,1.0,0.0,100.0
mario-guerra,1,1.0,0.0,100.0
saucecontrol,1,1.0,0.0,100.0
bobogogo1990,1,1.0,0.0,100.0
prvyk,1,1.0,0.0,100.0
maumar,1,1.0,0.0,100.0
samvaity,1,1.0,0.0,100.0
scala-steward-wvlet[bot],5,4.0,1.0,80.0
adreed-msft,1,1.0,0.0,100.0
alexandrudanpop,2,2.0,0.0,100.0
codewithdhruba01,1,0.0,1.0,0.0
lonegunmanb,1,0.0,1.0,0.0
lukemurraynz,2,2.0,0.0,100.0
rchiodo,1,1.0,0.0,100.0
h1alexbel,1,0.0,1.0,0.0
dthaler,1,1.0,0.0,100.0
AArnott,2,2.0,0.0,100.0
marcindsobczak,1,0.0,1.0,0.0
ezailWang,6,6.0,0.0,100.0
franco-chan,1,1.0,0.0,100.0
markmcd,4,4.0,0.0,100.0
seyeong-han,1,1.0,0.0,100.0
atharvvvg,1,0.0,1.0,0.0
HenriqueAJNB,1,1.0,0.0,100.0
bobbywlindsey,1,1.0,0.0,100.0
hariombalhara,6,6.0,0.0,100.0
hbjORbj,11,9.0,2.0,81.82
mscolnick,15,15.0,0.0,100.0
saketh-are,1,1.0,0.0,100.0
walnut-the-cat,1,1.0,0.0,100.0
daniellockyer,10,9.0,1.0,90.0
helloworld,2,1.0,1.0,50.0
xrav3nz,13,13.0,0.0,100.0
chaitanyya,1,1.0,0.0,100.0
mohitmishra786,1,0.0,1.0,0.0
sumitvekariya,1,1.0,0.0,100.0
pratik-pc,2,2.0,0.0,100.0
alberto-crossmint,3,3.0,0.0,100.0
0xaguspunk,5,5.0,0.0,100.0
tmarwen,1,1.0,0.0,100.0
hand-dot,5,4.0,1.0,80.0
Prat011,4,4.0,0.0,100.0
makkor-git,1,0.0,1.0,0.0
adids1221,5,2.0,3.0,40.0
ethanshar,5,5.0,0.0,100.0
nikasamadalashvili,1,0.0,1.0,0.0
nagychris,1,1.0,0.0,100.0
adhami3310,3,3.0,0.0,100.0
jakerobb,1,1.0,0.0,100.0
soheil-01,1,1.0,0.0,100.0
Steffen911,3,3.0,0.0,100.0
NANDINI-star,1,1.0,0.0,100.0
zaaakher,2,2.0,0.0,100.0
odilitime,1,0.0,1.0,0.0
y-bruin,5,4.0,1.0,80.0
palkan,1,1.0,0.0,100.0
junkisai,28,24.0,4.0,85.71
srhsrhsrhsrh,1,1.0,0.0,100.0
bcabanes,1,1.0,0.0,100.0
whiterabbit1983,13,11.0,2.0,84.62
HamadaSalhab,6,6.0,0.0,100.0
Gunnar97,1,1.0,0.0,100.0
chakravarthik27,1,0.0,1.0,0.0
Franz-Fischbach,1,1.0,0.0,100.0
mohitthakkar30,1,1.0,0.0,100.0
gustavoguichard,19,17.0,2.0,89.47
Disty0,1,1.0,0.0,100.0
resyntax-ci[bot],4,4.0,0.0,100.0
bksaiki,1,1.0,0.0,100.0
