real_human_author,pull_request_id,comments_by_human_maintainers
rootulp,3113193447,14
0xkarmacoma,3138279170,14
auduchinok,3080023392,14
jongio,3223618488,14
gadol21,3156963474,14
tynes,3141925686,14
laurentiusoica,3159591262,14
chris-oo,3230603903,14
srinathsetty,3189972179,14
skofman,3203262102,14
Atrix256,3194895472,14
Scalahansolo,3169100701,14
christothes,3133959095,14
gramalingam,3223461985,14
LLFourn,3158818689,14
jonthysell,3136052318,14
eallion,3226556821,14
matiasgarciaisaia,3259279446,14
ezyang,3135395580,14
andrewbranch,3131807343,14
AlCalzone,3248888118,14
vczh,3226154778,14
callicles,3229096395,14
lastmjs,3078352984,14
sven-n,3210054056,14
SvenAelterman,3227867582,14
jpayne3506,3126185401,14
harupy,3106326653,14
dweindl,3154014605,14
Youssef1313,3079628682,14
captainsafia,3081695764,14
devang-ml,3250546916,14
MSNev,3101440943,14
evan-forbes,3183651013,13
pjohnst5,3074893038,13
brianrob,3164572018,13
csyonghe,3242008869,13
chrarnoldus,3234804067,13
arnaudlh,3171113463,13
JoeCEaton,3199881418,13
ColinPeppler,3134885336,13
sklein12,3070936351,13
T-Gro,3076064186,13
marklam,3076043127,13
ForNeVeR,3076030480,13
trask,3197989666,13
jonthysell,3134302678,13
martypitt,3143963304,13
Evangelink,3150327302,13
trask,3197983076,13
marmor7,3078440447,13
Helw150,3254431567,13
saracarl,3264892289,13
Youssef1313,3120389334,13
drognanar,3187810707,13
davidfowl,3089144159,13
robertsLando,3198773156,13
greinacker,3078528718,13
davidfowl,3267727216,13
vzarytovskii,3176451317,13
minestarks,3098602377,13
mgoin,3241057566,13
szhorvat,3206834000,13
dereklegenzoff,3270923404,12
joshfree,3214056294,12
spbolton,3216706697,12
buenaflor,3222680745,12
buddhika75,3126215556,12
kaiyoma,3083905069,12
avifenesh,3180765473,12
tobiasb-ms,3113782046,12
matthewige,3168626948,12
ArneDeutsch,3155712937,12
tobio,3267544341,12
Karlie-777,3210239309,12
codyde,3135169379,12
anca2000,3276367328,12
live1206,3194549869,12
gcarleo,3162416395,12
Devon7925,3214127213,12
PureWeen,3176732963,12
daniel-sc,3184595253,12
timlenardo,3129133917,12
DamianEdwards,3173242643,12
Bandit-HaxUnit,3239609997,12
jpayne3506,3125996513,12
harupy,3140666398,12
lalitb,3229400382,12
Akasxh,3153767204,12
fdohrendorfG,3136199896,12
jonathanpeppers,3138221452,12
otoolep,3094173620,12
WorldTeacher,3224085262,12
Shpigford,3154662508,12
eXpl0it3r,3159023948,12
CppCXY,3191233085,12
shueybubbles,3134580076,12
aibrahim-oai,3224283647,12
ArcturusZhang,3255507938,12
ilonatommy,3214811092,12
Kvadratni,3094579094,12
MrFlounder,3155060428,12
JoshLove-msft,3177107618,12
BernieWhite,3212617082,12
Vegoo89,3215761683,12
leonardmq,3142737206,12
Karlie-777,3214086292,12
Keno,3085487490,12
YZahringer,3075176665,12
AArnott,3135303315,12
pierrevalade,3148089145,12
kristapratico,3193634550,12
Mandukhai-Alimaa,3190424487,11
six7,3096200855,11
davidfowl,3174512200,11
chiaramooney,3136055973,11
srnagar,3177155948,11
legion2002,3160647911,11
andyzhangx,3217654347,11
saracarl,3264878708,11
RawScape,3075201543,11
adlerjohn,3116453711,11
mshinwell,3257102140,11
madskristensen,3141023608,11
snufffgit,3184463362,11
FFroehlich,3154166023,11
acampove,3192728541,11
davidfowl,3094488685,11
desjoerd,3118884227,11
kylooh,3111618330,11
PureWeen,3193162981,11
sjm41,2914277614,11
kgouraw,3209849522,11
alexr00,3199050485,11
bradygaster,3157539004,11
hipsterusername,3194511305,11
grendello,3187808523,11
JoshLove-msft,3172846336,11
gaby,3105703473,11
T-Gro,3139980757,11
hansent,3134306675,11
rach-id,3163520332,11
davidfowl,3155685400,11
epsi1on,3079241115,11
jonathanpeppers,3144026446,11
Nolram12345,3210178155,11
jtramm,3179766264,11
xionglingfeng,3074688614,11
RealityProgrammer,3163870590,11
raineorshine,3152174737,11
jonthysell,3198244189,11
yonghao2011,3165662397,11
IshanCSE,3119354820,11
heaths,3081019130,11
trask,3194217765,11
mthalman,3115409265,11
baronfel,3154652967,11
MrAdelhorst,3080058343,11
dperssongrt,2989761342,11
acco,3101434004,11
davidfowl,3090578689,11
auderson,3199299700,11
billyvg,3133836979,11
nilo19,3212218608,11
murphyatwork,3272945997,11
jonthysell,3190612959,10
U8F69,3206264749,10
sinedied,3137146172,10
applike-ss,3276368773,10
vienthuong,3251615613,10
sinedied,3226519927,10
romtsn,3169456811,10
chiaramooney,3136072957,10
grothkopp,3192862599,10
jmeridth,3150091151,10
cmungall,3094661465,10
AArnott,3135316626,10
hetunandu,2791971139,10
toyamarinyon,3108467281,10
captainsafia,3184269634,10
bruno-garcia,3154921524,10
robbie-c,3139731537,10
ppekrol,3102011997,10
jongio,3223522886,10
majdyz,3219880512,10
rvagg,3210755490,10
mikekistler,3081464962,10
rainersigwald,3086540771,10
noahfalk,3205771814,10
Tyriar,3119335069,10
nirs,3194805300,10
gewarren,3162263131,10
chenmoneygithub,3194053710,10
hansonw,3088109664,10
vhvb1989,3261577574,10
mosdehcom,3221926992,10
lalitb,3194212498,10
kehanxuuu,3194130560,10
lschneiderbauer,3105161001,10
0xkarmacoma,3138256165,10
diqye,3128413591,10
MH4GF,3167450477,10
maddieford,3078356584,10
radical,3078737490,10
RufusJWB,3074781486,10
gregorywaynepower,3165176791,10
harupy,3214555104,10
RexJaeschke,3111637041,10
rickwierenga,3119627507,10
rvagg,3210824774,10
vapourismo,3084631055,10
rauhs,3084778291,10
gmercey,3147960973,10
avifenesh,3225168727,10
paulpv,3205442114,10
harupy,3085398469,10
christianhelle,3074785958,10
jonrohan,3137892942,10
mrsharm,3102019273,10
javiercn,3156952451,10
otoolep,3134092582,10
TomeHirata,3123684653,10
azizabah,3083313712,10
felfa01,3271677684,10
ericstj,3138102792,10
guillaq,3163701771,10
AkihiroSuda,3194803721,10
will-holley,3193560962,10
devang-ml,3125458401,10
ManickaP,3075843226,10
mitchdenny,3079632972,10
KrzysztofCwalina,3209796838,9
JoshLove-msft,3140613045,9
entangled90,3188978416,9
ras0219-msft,3138073133,9
nuke-web3,3113175166,9
0gien,3225203739,9
szhorvat,3206831441,9
NewFuture,3250824111,9
sreya,2936982220,9
harupy,3194998721,9
KHeresy,3134692524,9
marrobi,3079684446,9
achantavy,3131654790,9
ViktorHofer,3076300908,9
kolaente,3119154707,9
ViktorHofer,3076300908,9
JoshLove-msft,3196547980,9
rach-id,3209660072,9
tphakala,3189507528,9
Patch4747,3074609325,9
brianrob,3134892391,9
trask,3194269192,9
messense,3224825503,9
benbp,3084855641,9
pierrevalade,3150896736,9
Rello,3173074819,9
NikCharlebois,3180142640,9
yuslepukhin,3160615563,9
greinacker,3084106426,9
vrdevendra,3193369023,9
harupy,3086457034,9
josephaw1022,3157537779,9
MSBrett,3087094895,9
JeppeKlitgaard,3227004326,9
rach-id,3202730929,9
DaveSkender,3116057368,9
achantavy,3241853233,9
Saadnajmi,3189347022,9
Karlie-777,3214078227,9
scottaddie,3173180612,9
DavidVilleneuveAnsys,3140333312,9
mvenkatsriram,2894930869,9
JoshLove-msft,3261757119,9
Jarred-Sumner,3197795537,9
Jarred-Sumner,3074482141,9
captainsafia,3189091502,9
PureWeen,3176406990,9
JonathanCrd,3154760858,9
MH4GF,3047699666,9
gabek,3197541653,9
tomhrr,3158727370,9
simon-mo,3240797601,9
greinacker,3081466449,9
Kumima,3152775367,9
EvilBeaver,3238158813,9
nishio,3076685839,9
javiercn,3086437300,9
javiercn,3197180934,9
karpikpl,3209445091,9
javiercn,3152880462,9
aishwaryabh,3095403215,9
JoshLove-msft,3234065894,9
mingxin-zheng,3178158316,9
tamirkamara,3238991224,9
JoshLove-msft,3271620469,9
minestarks,3141889094,9
weinong,3234259884,9
kolaente,3171094112,9
evan-forbes,3194387938,9
bgrainger,3176981999,9
vivek-jindal,3218202482,9
trevorwangigs,3140527739,9
Jarred-Sumner,3078237999,9
nohwnd,3151219647,9
LiliDeng,3187683940,9
takenagain,3191839195,9
dscho,3082541069,9
jmielbrecht-symetrix,3168922203,9
