real_human_author,pull_request_id,comments_by_human_maintainers
Youssef1313,3079628682,22
otoolep,3094173620,22
kristapratico,3193634550,22
trask,3197989666,22
Evangelink,3150327302,22
rootulp,3113193447,22
minestarks,3098602377,22
vczh,3226154778,22
RealityProgrammer,3163870590,22
LSAIKE8760,3164047878,22
davidfowl,3090578689,22
iancooper,3176217773,22
rootulp,3110851997,22
legion2002,3160647911,22
hansent,3134306675,22
ArneDeutsch,3155712937,22
gaby,3105703473,21
FFroehlich,3154166023,21
Mandukhai-Alimaa,3190424487,21
raineorshine,3152174737,21
p3palazzo,3074698333,21
csyonghe,3242008869,21
jpayne3506,3126185401,21
jonathanpeppers,3144026446,21
ArcturusZhang,3255507938,21
matthewige,3168623396,21
SvenAelterman,3227867582,21
kaiyoma,3083905069,21
KrzysztofCwalina,3157577978,21
jonthysell,3155033995,21
tomhrr,3156387866,21
harupy,3140666398,21
srnagar,3177155948,21
rootulp,3110867755,21
dperssongrt,2989761342,21
buenaflor,3222680745,21
billyvg,3133836979,21
pierrevalade,3148089145,21
chenmoneygithub,3194053710,20
ColinPeppler,3134885336,20
davidfowl,3174512200,20
apexskier,3074698471,20
kylooh,3111618330,20
mitchdenny,3079632972,20
martypitt,3143963304,20
six7,3087442273,20
mandel-macaque,3148248930,20
adlerjohn,3116453711,20
JMBeresford,3084876668,20
trask,3197983076,20
rach-id,3163520332,20
vapourismo,3084631055,20
hipsterusername,3194511305,20
timlenardo,3129133917,20
leonardmq,3142737206,20
ReneWerner87,3088758509,20
chris-oo,3230603903,19
Scalahansolo,3169100701,19
jongio,3223522886,19
eXpl0it3r,3159023948,19
joshfree,3214056294,19
lalitb,3229400382,19
TatianaKapos,3150665460,19
tobio,3267544341,19
jonthysell,3155034843,19
rauhs,3084778291,19
longxya,3075041588,19
davidfowl,3155685400,19
ericstj,3138102792,19
RawScape,3075201543,19
Nolram12345,3210178155,19
benwbrum,3264895237,19
jonthysell,3134302678,19
MH4GF,3167450477,19
Helw150,3254431567,19
jpayne3506,3125996513,18
NikCharlebois,3180142640,18
KrzysztofCwalina,3209796838,18
DaveSkender,3116057368,18
waldekmastykarz,3172362186,18
harupy,3085398469,18
mvdicarlo,3133214926,18
davidfowl,3089142164,18
mosdehcom,3221926992,18
shueybubbles,3134580076,18
vivek-jindal,3218202482,18
fdohrendorfG,3136199896,18
0gien,3225203739,18
bgrainger,3176981999,18
JoshLove-msft,3261757119,18
JoshLove-msft,3081171929,18
0xkarmacoma,3138256165,18
davidfowl,3267727216,18
