experience,User_Count,Mean,Std_Dev,Median,IQR,Min,Max
Junior,31522,90.196286403147,27.040748040477208,100.0,0.0,0.0,100.0
Mid,12341,91.76015638927154,18.02960696087261,100.0,7.689999999999998,0.0,100.0
Senior,11830,83.17734150464919,32.49769703057441,100.0,14.290000000000006,0.0,100.0
